"","Participant age","Contact age","mean contacts","Period"
"1","0-4","0-4",0.300609065235107,"1. Lockdown 1"
"2","5-11","0-4",0.190307924147565,"1. Lockdown 1"
"3","12-17","0-4",0.0900675733359575,"1. Lockdown 1"
"4","18-29","0-4",0.349585147137194,"1. Lockdown 1"
"5","30-39","0-4",0.525316287199266,"1. Lockdown 1"
"6","40-49","0-4",0.272197581353044,"1. Lockdown 1"
"7","50-59","0-4",0.0687933125271677,"1. Lockdown 1"
"8","60-69","0-4",0.0619112034037949,"1. Lockdown 1"
"9","70+","0-4",0.034730158125937,"1. Lockdown 1"
"10","0-4","5-11",0.278221438045305,"1. Lockdown 1"
"11","5-11","5-11",0.408768859636662,"1. Lockdown 1"
"12","12-17","5-11",0.289340652754631,"1. Lockdown 1"
"13","18-29","5-11",0.168915079551478,"1. Lockdown 1"
"14","30-39","5-11",0.435924065305343,"1. Lockdown 1"
"15","40-49","5-11",0.458509754662404,"1. Lockdown 1"
"16","50-59","5-11",0.18866704814722,"1. Lockdown 1"
"17","60-69","5-11",0.0708524078957819,"1. Lockdown 1"
"18","70+","5-11",0.0283470825900328,"1. Lockdown 1"
"19","0-4","12-17",0.104133251767076,"1. Lockdown 1"
"20","5-11","12-17",0.228821435820201,"1. Lockdown 1"
"21","12-17","12-17",0.346880932745058,"1. Lockdown 1"
"22","18-29","12-17",0.196059073271949,"1. Lockdown 1"
"23","30-39","12-17",0.199821947125426,"1. Lockdown 1"
"24","40-49","12-17",0.44574775116815,"1. Lockdown 1"
"25","50-59","12-17",0.417433680158895,"1. Lockdown 1"
"26","60-69","12-17",0.143629579306739,"1. Lockdown 1"
"27","70+","12-17",0.0288394039270631,"1. Lockdown 1"
"28","0-4","18-29",0.894871845272427,"1. Lockdown 1"
"29","5-11","18-29",0.295762136674984,"1. Lockdown 1"
"30","12-17","18-29",0.434084070563892,"1. Lockdown 1"
"31","18-29","18-29",0.658639295687774,"1. Lockdown 1"
"32","30-39","18-29",0.490194793528531,"1. Lockdown 1"
"33","40-49","18-29",0.303002157125881,"1. Lockdown 1"
"34","50-59","18-29",0.46252700902672,"1. Lockdown 1"
"35","60-69","18-29",0.2355378798417,"1. Lockdown 1"
"36","70+","18-29",0.0882189883110264,"1. Lockdown 1"
"37","0-4","30-39",1.24419414933101,"1. Lockdown 1"
"38","5-11","30-39",0.706227158597784,"1. Lockdown 1"
"39","12-17","30-39",0.409345015781734,"1. Lockdown 1"
"40","18-29","30-39",0.453553069985078,"1. Lockdown 1"
"41","30-39","30-39",0.659057327713205,"1. Lockdown 1"
"42","40-49","30-39",0.419564587309628,"1. Lockdown 1"
"43","50-59","30-39",0.310762940585749,"1. Lockdown 1"
"44","60-69","30-39",0.242427799964478,"1. Lockdown 1"
"45","70+","30-39",0.189735278671623,"1. Lockdown 1"
"46","0-4","40-49",0.596779788343075,"1. Lockdown 1"
"47","5-11","40-49",0.68761399106354,"1. Lockdown 1"
"48","12-17","40-49",0.845275023578925,"1. Lockdown 1"
"49","18-29","40-49",0.259518123663394,"1. Lockdown 1"
"50","30-39","40-49",0.388384045046409,"1. Lockdown 1"
"51","40-49","40-49",0.524663968855558,"1. Lockdown 1"
"52","50-59","40-49",0.419968913827251,"1. Lockdown 1"
"53","60-69","40-49",0.190510072742175,"1. Lockdown 1"
"54","70+","40-49",0.154355145023253,"1. Lockdown 1"
"55","0-4","50-59",0.160803835581702,"1. Lockdown 1"
"56","5-11","50-59",0.3016563814757,"1. Lockdown 1"
"57","12-17","50-59",0.843949965455499,"1. Lockdown 1"
"58","18-29","50-59",0.42235671928965,"1. Lockdown 1"
"59","30-39","50-59",0.306698827110124,"1. Lockdown 1"
"60","40-49","50-59",0.447751946343999,"1. Lockdown 1"
"61","50-59","50-59",0.59538212104756,"1. Lockdown 1"
"62","60-69","50-59",0.370017361666228,"1. Lockdown 1"
"63","70+","50-59",0.214605384412492,"1. Lockdown 1"
"64","0-4","60-69",0.114953314444704,"1. Lockdown 1"
"65","5-11","60-69",0.0899856270426592,"1. Lockdown 1"
"66","12-17","60-69",0.230661531903288,"1. Lockdown 1"
"67","18-29","60-69",0.170846128416626,"1. Lockdown 1"
"68","30-39","60-69",0.190049785448834,"1. Lockdown 1"
"69","40-49","60-69",0.161339367752755,"1. Lockdown 1"
"70","50-59","60-69",0.293916638978854,"1. Lockdown 1"
"71","60-69","60-69",0.581674927799897,"1. Lockdown 1"
"72","70+","60-69",0.216262355396067,"1. Lockdown 1"
"73","0-4","70+",0.0821353385628479,"1. Lockdown 1"
"74","5-11","70+",0.0458561871383088,"1. Lockdown 1"
"75","12-17","70+",0.058991386317946,"1. Lockdown 1"
"76","18-29","70+",0.0815037314015339,"1. Lockdown 1"
"77","30-39","70+",0.189454136418182,"1. Lockdown 1"
"78","40-49","70+",0.166500122335135,"1. Lockdown 1"
"79","50-59","70+",0.217126945890547,"1. Lockdown 1"
"80","60-69","70+",0.275455829412935,"1. Lockdown 1"
"81","70+","70+",0.73841106630511,"1. Lockdown 1"
"82","0-4","0-4",0.430635062477698,"2. Lockdown 1 easing"
"83","5-11","0-4",0.31639862251663,"2. Lockdown 1 easing"
"84","12-17","0-4",0.138516342128371,"2. Lockdown 1 easing"
"85","18-29","0-4",0.32611296258833,"2. Lockdown 1 easing"
"86","30-39","0-4",0.545570687190939,"2. Lockdown 1 easing"
"87","40-49","0-4",0.256091931188832,"2. Lockdown 1 easing"
"88","50-59","0-4",0.106823715448833,"2. Lockdown 1 easing"
"89","60-69","0-4",0.0834434205350496,"2. Lockdown 1 easing"
"90","70+","0-4",0.05362166947985,"2. Lockdown 1 easing"
"91","0-4","5-11",0.462560243596965,"2. Lockdown 1 easing"
"92","5-11","5-11",0.773266554619889,"2. Lockdown 1 easing"
"93","12-17","5-11",0.489549167156037,"2. Lockdown 1 easing"
"94","18-29","5-11",0.190842339854991,"2. Lockdown 1 easing"
"95","30-39","5-11",0.462902321354293,"2. Lockdown 1 easing"
"96","40-49","5-11",0.513665709107123,"2. Lockdown 1 easing"
"97","50-59","5-11",0.213754884709222,"2. Lockdown 1 easing"
"98","60-69","5-11",0.111513997429783,"2. Lockdown 1 easing"
"99","70+","5-11",0.0398371660044044,"2. Lockdown 1 easing"
"100","0-4","12-17",0.160148170917242,"2. Lockdown 1 easing"
"101","5-11","12-17",0.387153834992636,"2. Lockdown 1 easing"
"102","12-17","12-17",0.500493422336583,"2. Lockdown 1 easing"
"103","18-29","12-17",0.223245403285512,"2. Lockdown 1 easing"
"104","30-39","12-17",0.234366527720187,"2. Lockdown 1 easing"
"105","40-49","12-17",0.420396901520787,"2. Lockdown 1 easing"
"106","50-59","12-17",0.421637306771271,"2. Lockdown 1 easing"
"107","60-69","12-17",0.156060826011834,"2. Lockdown 1 easing"
"108","70+","12-17",0.0717534841427205,"2. Lockdown 1 easing"
"109","0-4","18-29",0.834787493085767,"2. Lockdown 1 easing"
"110","5-11","18-29",0.334155709208685,"2. Lockdown 1 easing"
"111","12-17","18-29",0.494275892340033,"2. Lockdown 1 easing"
"112","18-29","18-29",0.72775782168555,"2. Lockdown 1 easing"
"113","30-39","18-29",0.706691299977032,"2. Lockdown 1 easing"
"114","40-49","18-29",0.487851304590524,"2. Lockdown 1 easing"
"115","50-59","18-29",0.522056733905579,"2. Lockdown 1 easing"
"116","60-69","18-29",0.328824449137718,"2. Lockdown 1 easing"
"117","70+","18-29",0.231751188036647,"2. Lockdown 1 easing"
"118","0-4","30-39",1.29216602186176,"2. Lockdown 1 easing"
"119","5-11","30-39",0.749933800716814,"2. Lockdown 1 easing"
"120","12-17","30-39",0.480111275905602,"2. Lockdown 1 easing"
"121","18-29","30-39",0.653866611534448,"2. Lockdown 1 easing"
"122","30-39","30-39",0.923537550193599,"2. Lockdown 1 easing"
"123","40-49","30-39",0.66968464171676,"2. Lockdown 1 easing"
"124","50-59","30-39",0.490044153969439,"2. Lockdown 1 easing"
"125","60-69","30-39",0.458928931598104,"2. Lockdown 1 easing"
"126","70+","30-39",0.408304884741796,"2. Lockdown 1 easing"
"127","0-4","40-49",0.561468943741337,"2. Lockdown 1 easing"
"128","5-11","40-49",0.770329801536486,"2. Lockdown 1 easing"
"129","12-17","40-49",0.797202004753223,"2. Lockdown 1 easing"
"130","18-29","40-49",0.41783945168903,"2. Lockdown 1 easing"
"131","30-39","40-49",0.619916069950554,"2. Lockdown 1 easing"
"132","40-49","40-49",0.642149090036237,"2. Lockdown 1 easing"
"133","50-59","40-49",0.473948780340633,"2. Lockdown 1 easing"
